date,tmax
2020-01-01,41.0
2020-01-02,49.0
2020-01-03,49.0
2020-01-04,51.0
2020-01-05,42.0
2020-01-06,45.0
2020-01-07,45.0
2020-01-08,42.0
2020-01-09,34.0
2020-01-10,55.0
2020-01-11,69.0
2020-01-12,68.0
2020-01-13,46.0
2020-01-14,46.0
2020-01-15,50.0
2020-01-16,49.0
2020-01-17,33.0
2020-01-18,37.0
2020-01-19,43.0
2020-01-20,31.0
2020-01-21,33.0
2020-01-22,38.0
2020-01-23,47.0
2020-01-24,51.0
2020-01-25,51.0
2020-01-26,46.0
2020-01-27,45.0
2020-01-28,43.0
2020-01-29,41.0
2020-01-30,38.0
2020-01-31,44.0
2020-02-01,43.0
2020-02-02,45.0
2020-02-03,57.0
2020-02-04,61.0
2020-02-05,55.0
2020-02-06,41.0
2020-02-07,56.0
2020-02-08,41.0
2020-02-09,44.0
2020-02-10,47.0
2020-02-11,48.0
2020-02-12,46.0
2020-02-13,44.0
2020-02-14,40.0
2020-02-15,31.0
2020-02-16,44.0
2020-02-17,51.0
2020-02-18,47.0
2020-02-19,48.0
2020-02-20,35.0
2020-02-21,35.0
2020-02-22,50.0
2020-02-23,56.0
2020-02-24,62.0
2020-02-25,53.0
2020-02-26,48.0
2020-02-27,43.0
2020-02-28,42.0
2020-02-29,35.0
2020-03-01,44.0
2020-03-02,58.0
2020-03-03,59.0
2020-03-04,56.0
2020-03-05,51.0
2020-03-06,45.0
2020-03-07,48.0
2020-03-08,59.0
2020-03-09,72.0
2020-03-10,65.0
2020-03-11,57.0
2020-03-12,50.0
2020-03-13,70.0
2020-03-14,57.0
2020-03-15,54.0
2020-03-16,45.0
2020-03-17,54.0
2020-03-18,54.0
2020-03-19,52.0
2020-03-20,77.0
2020-03-21,65.0
2020-03-22,45.0
2020-03-23,41.0
2020-03-24,55.0
2020-03-25,45.0
2020-03-26,60.0
2020-03-27,69.0
2020-03-28,54.0
2020-03-29,47.0
2020-03-30,52.0
2020-03-31,49.0
2020-04-01,56.0
2020-04-02,58.0
2020-04-03,52.0
2020-04-04,62.0
2020-04-05,65.0
2020-04-06,66.0
2020-04-07,68.0
2020-04-08,64.0
2020-04-09,59.0
2020-04-10,49.0
2020-04-11,56.0
2020-04-12,63.0
2020-04-13,67.0
2020-04-14,60.0
2020-04-15,54.0
2020-04-16,50.0
2020-04-17,51.0
2020-04-18,46.0
2020-04-19,63.0
2020-04-20,57.0
2020-04-21,61.0
2020-04-22,51.0
2020-04-23,52.0
2020-04-24,49.0
2020-04-25,65.0
2020-04-26,51.0
2020-04-27,50.0
2020-04-28,67.0
2020-04-29,59.0
2020-04-30,60.0
2020-05-01,66.0
2020-05-02,73.0
2020-05-03,80.0
2020-05-04,75.0
2020-05-05,63.0
2020-05-06,52.0
2020-05-07,67.0
2020-05-08,57.0
2020-05-09,48.0
2020-05-10,64.0
2020-05-11,61.0
2020-05-12,59.0
2020-05-13,64.0
2020-05-14,67.0
2020-05-15,84.0
2020-05-16,77.0
2020-05-17,69.0
2020-05-18,70.0
2020-05-19,68.0
2020-05-20,66.0
2020-05-21,68.0
2020-05-22,77.0
2020-05-23,67.0
2020-05-24,67.0
2020-05-25,71.0
2020-05-26,78.0
2020-05-27,79.0
2020-05-28,76.0
2020-05-29,81.0
2020-05-30,81.0
2020-05-31,70.0
2020-06-01,70.0
2020-06-02,72.0
2020-06-03,79.0
2020-06-04,84.0
2020-06-05,79.0
2020-06-06,86.0
2020-06-07,76.0
2020-06-08,79.0
2020-06-09,87.0
2020-06-10,85.0
2020-06-11,84.0
2020-06-12,85.0
2020-06-13,75.0
2020-06-14,74.0
2020-06-15,75.0
2020-06-16,78.0
2020-06-17,78.0
2020-06-18,77.0
2020-06-19,83.0
2020-06-20,86.0
2020-06-21,88.0
2020-06-22,90.0
2020-06-23,87.0
2020-06-24,86.0
2020-06-25,87.0
2020-06-26,87.0
2020-06-27,80.0
2020-06-28,90.0
2020-06-29,87.0
2020-06-30,80.0
2020-07-01,80.0
2020-07-02,92.0
2020-07-03,90.0
2020-07-04,87.0
2020-07-05,92.0
2020-07-06,96.0
2020-07-07,82.0
2020-07-08,83.0
2020-07-09,89.0
2020-07-10,77.0
2020-07-11,83.0
2020-07-12,87.0
2020-07-13,86.0
2020-07-14,85.0
2020-07-15,82.0
2020-07-16,78.0
2020-07-17,84.0
2020-07-18,91.0
2020-07-19,94.0
2020-07-20,93.0
2020-07-21,91.0
2020-07-22,92.0
2020-07-23,86.0
2020-07-24,80.0
2020-07-25,88.0
2020-07-26,92.0
2020-07-27,93.0
2020-07-28,93.0
2020-07-29,90.0
2020-07-30,92.0
2020-07-31,82.0
2020-08-01,88.0
2020-08-02,89.0
2020-08-03,88.0
2020-08-04,79.0
2020-08-05,86.0
2020-08-06,82.0
2020-08-07,81.0
2020-08-08,83.0
2020-08-09,87.0
2020-08-10,92.0
2020-08-11,88.0
2020-08-12,90.0
2020-08-13,79.0
2020-08-14,86.0
2020-08-15,84.0
2020-08-16,72.0
2020-08-17,81.0
2020-08-18,82.0
2020-08-19,75.0
2020-08-20,80.0
2020-08-21,83.0
2020-08-22,88.0
2020-08-23,86.0
2020-08-24,90.0
2020-08-25,89.0
2020-08-26,77.0
2020-08-27,90.0
2020-08-28,85.0
2020-08-29,81.0
2020-08-30,79.0
2020-08-31,77.0
2020-09-01,77.0
2020-09-02,79.0
2020-09-03,85.0
2020-09-04,85.0
2020-09-05,80.0
2020-09-06,82.0
2020-09-07,79.0
2020-09-08,84.0
2020-09-09,81.0
2020-09-10,82.0
2020-09-11,76.0
2020-09-12,74.0
2020-09-13,74.0
2020-09-14,75.0
2020-09-15,66.0
2020-09-16,71.0
2020-09-17,75.0
2020-09-18,70.0
2020-09-19,63.0
2020-09-20,65.0
2020-09-21,65.0
2020-09-22,71.0
2020-09-23,79.0
2020-09-24,75.0
2020-09-25,77.0
2020-09-26,74.0
2020-09-27,79.0
2020-09-28,77.0
2020-09-29,74.0
2020-09-30,71.0
2020-10-01,72.0
2020-10-02,65.0
2020-10-03,66.0
2020-10-04,67.0
2020-10-05,70.0
2020-10-06,69.0
2020-10-07,74.0
2020-10-08,64.0
2020-10-09,69.0
2020-10-10,71.0
2020-10-11,67.0
2020-10-12,57.0
2020-10-13,58.0
2020-10-14,67.0
2020-10-15,71.0
2020-10-16,66.0
2020-10-17,59.0
2020-10-18,62.0
2020-10-19,65.0
2020-10-20,71.0
2020-10-21,68.0
2020-10-22,68.0
2020-10-23,69.0
2020-10-24,69.0
2020-10-25,53.0
2020-10-26,59.0
2020-10-27,59.0
2020-10-28,57.0
2020-10-29,56.0
2020-10-30,47.0
2020-10-31,46.0
2020-11-01,55.0
2020-11-02,44.0
2020-11-03,53.0
2020-11-04,62.0
2020-11-05,67.0
2020-11-06,70.0
2020-11-07,74.0
2020-11-08,75.0
2020-11-09,75.0
2020-11-10,74.0
2020-11-11,72.0
2020-11-12,68.0
2020-11-13,50.0
2020-11-14,52.0
2020-11-15,64.0
2020-11-16,55.0
2020-11-17,50.0
2020-11-18,36.0
2020-11-19,48.0
2020-11-20,63.0
2020-11-21,64.0
2020-11-22,59.0
2020-11-23,60.0
2020-11-24,48.0
2020-11-25,56.0
2020-11-26,65.0
2020-11-27,63.0
2020-11-28,56.0
2020-11-29,54.0
2020-11-30,63.0
2020-12-01,62.0
2020-12-02,43.0
2020-12-03,50.0
2020-12-04,52.0
2020-12-05,47.0
2020-12-06,40.0
2020-12-07,40.0
2020-12-08,36.0
2020-12-09,38.0
2020-12-10,49.0
2020-12-11,57.0
2020-12-12,58.0
2020-12-13,62.0
2020-12-14,47.0
2020-12-15,39.0
2020-12-16,31.0
2020-12-17,33.0
2020-12-18,32.0
2020-12-19,32.0
2020-12-20,40.0
2020-12-21,46.0
2020-12-22,46.0
2020-12-23,45.0
2020-12-24,59.0
2020-12-25,61.0
2020-12-26,32.0
2020-12-27,37.0
2020-12-28,50.0
2020-12-29,43.0
2020-12-30,43.0
2020-12-31,48.0
2021-01-01,40.0
2021-01-02,51.0
2021-01-03,38.0
2021-01-04,43.0
2021-01-05,42.0
2021-01-06,41.0
2021-01-07,41.0
2021-01-08,37.0
2021-01-09,37.0
2021-01-10,41.0
2021-01-11,37.0
2021-01-12,44.0
2021-01-13,43.0
2021-01-14,49.0
2021-01-15,46.0
2021-01-16,47.0
2021-01-17,44.0
2021-01-18,45.0
2021-01-19,43.0
2021-01-20,40.0
2021-01-21,43.0
2021-01-22,45.0
2021-01-23,36.0
2021-01-24,32.0
2021-01-25,37.0
2021-01-26,34.0
2021-01-27,37.0
2021-01-28,34.0
2021-01-29,25.0
2021-01-30,32.0
2021-01-31,26.0
2021-02-01,34.0
2021-02-02,33.0
2021-02-03,37.0
2021-02-04,43.0
2021-02-05,47.0
2021-02-06,44.0
2021-02-07,40.0
2021-02-08,29.0
2021-02-09,33.0
2021-02-10,35.0
2021-02-11,33.0
2021-02-12,30.0
2021-02-13,30.0
2021-02-14,38.0
2021-02-15,36.0
2021-02-16,51.0
2021-02-17,34.0
2021-02-18,30.0
2021-02-19,33.0
2021-02-20,35.0
2021-02-21,37.0
2021-02-22,39.0
2021-02-23,45.0
2021-02-24,54.0
2021-02-25,50.0
2021-02-26,45.0
2021-02-27,50.0
2021-02-28,45.0
2021-03-01,49.0
2021-03-02,33.0
2021-03-03,52.0
2021-03-04,45.0
2021-03-05,37.0
2021-03-06,34.0
2021-03-07,41.0
2021-03-08,43.0
2021-03-09,64.0
2021-03-10,54.0
2021-03-11,71.0
2021-03-12,68.0
2021-03-13,52.0
2021-03-14,54.0
2021-03-15,39.0
2021-03-16,37.0
2021-03-17,47.0
2021-03-18,47.0
2021-03-19,43.0
2021-03-20,59.0
2021-03-21,63.0
2021-03-22,62.0
2021-03-23,66.0
2021-03-24,56.0
2021-03-25,68.0
2021-03-26,82.0
2021-03-27,69.0
2021-03-28,60.0
2021-03-29,55.0
2021-03-30,61.0
2021-03-31,67.0
2021-04-01,58.0
2021-04-02,39.0
2021-04-03,53.0
2021-04-04,65.0
2021-04-05,68.0
2021-04-06,70.0
2021-04-07,72.0
2021-04-08,70.0
2021-04-09,59.0
2021-04-10,70.0
2021-04-11,57.0
2021-04-12,51.0
2021-04-13,65.0
2021-04-14,72.0
2021-04-15,58.0
2021-04-16,53.0
2021-04-17,56.0
2021-04-18,64.0
2021-04-19,65.0
2021-04-20,76.0
2021-04-21,68.0
2021-04-22,48.0
2021-04-23,64.0
2021-04-24,72.0
2021-04-25,63.0
2021-04-26,60.0
2021-04-27,64.0
2021-04-28,85.0
2021-04-29,75.0
2021-04-30,71.0
2021-05-01,65.0
2021-05-02,82.0
2021-05-03,66.0
2021-05-04,73.0
2021-05-05,62.0
2021-05-06,66.0
2021-05-07,66.0
2021-05-08,55.0
2021-05-09,65.0
2021-05-10,60.0
2021-05-11,67.0
2021-05-12,68.0
2021-05-13,72.0
2021-05-14,76.0
2021-05-15,79.0
2021-05-16,75.0
2021-05-17,78.0
2021-05-18,82.0
2021-05-19,86.0
2021-05-20,76.0
2021-05-21,79.0
2021-05-22,89.0
2021-05-23,88.0
2021-05-24,68.0
2021-05-25,73.0
2021-05-26,86.0
2021-05-27,81.0
2021-05-28,69.0
2021-05-29,51.0
2021-05-30,51.0
2021-05-31,70.0
2021-06-01,76.0
2021-06-02,75.0
2021-06-03,74.0
2021-06-04,78.0
2021-06-05,89.0
2021-06-06,92.0
2021-06-07,91.0
2021-06-08,90.0
2021-06-09,90.0
2021-06-10,84.0
2021-06-11,69.0
2021-06-12,69.0
2021-06-13,76.0
2021-06-14,73.0
2021-06-15,80.0
2021-06-16,77.0
2021-06-17,78.0
2021-06-18,84.0
2021-06-19,88.0
2021-06-20,86.0
2021-06-21,86.0
2021-06-22,78.0
2021-06-23,76.0
2021-06-24,77.0
2021-06-25,81.0
2021-06-26,83.0
2021-06-27,90.0
2021-06-28,92.0
2021-06-29,95.0
2021-06-30,98.0
2021-07-01,84.0
2021-07-02,79.0
2021-07-03,66.0
2021-07-04,79.0
2021-07-05,83.0
2021-07-06,92.0
2021-07-07,91.0
2021-07-08,84.0
2021-07-09,85.0
2021-07-10,81.0
2021-07-11,78.0
2021-07-12,86.0
2021-07-13,72.0
2021-07-14,87.0
2021-07-15,89.0
2021-07-16,91.0
2021-07-17,91.0
2021-07-18,84.0
2021-07-19,81.0
2021-07-20,86.0
2021-07-21,80.0
2021-07-22,81.0
2021-07-23,83.0
2021-07-24,84.0
2021-07-25,83.0
2021-07-26,88.0
2021-07-27,89.0
2021-07-28,81.0
2021-07-29,77.0
2021-07-30,82.0
2021-07-31,77.0
2021-08-01,77.0
2021-08-02,80.0
2021-08-03,79.0
2021-08-04,76.0
2021-08-05,81.0
2021-08-06,88.0
2021-08-07,87.0
2021-08-08,77.0
2021-08-09,81.0
2021-08-10,84.0
2021-08-11,89.0
2021-08-12,93.0
2021-08-13,94.0
2021-08-14,88.0
2021-08-15,83.0
2021-08-16,83.0
2021-08-17,81.0
2021-08-18,83.0
2021-08-19,85.0
2021-08-20,82.0
2021-08-21,82.0
2021-08-22,76.0
2021-08-23,83.0
2021-08-24,89.0
2021-08-25,91.0
2021-08-26,91.0
2021-08-27,93.0
2021-08-28,80.0
2021-08-29,76.0
2021-08-30,85.0
2021-08-31,83.0
2021-09-01,78.0
2021-09-02,77.0
2021-09-03,74.0
2021-09-04,79.0
2021-09-05,74.0
2021-09-06,81.0
2021-09-07,79.0
2021-09-08,82.0
2021-09-09,76.0
2021-09-10,74.0
2021-09-11,76.0
2021-09-12,81.0
2021-09-13,83.0
2021-09-14,80.0
2021-09-15,85.0
2021-09-16,76.0
2021-09-17,75.0
2021-09-18,84.0
2021-09-19,76.0
2021-09-20,75.0
2021-09-21,76.0
2021-09-22,79.0
2021-09-23,79.0
2021-09-24,72.0
2021-09-25,75.0
