date,nasa_temp_avg,nasa_temp_max,nasa_temp_min,nasa_humidity,nasa_precipitation,nasa_wind_speed,solar_radiation,longwave_radiation
2015-01-01,-2.33,1.38,-6.77,74.7,0.0,2.41,2.58,5.68
2015-01-02,-0.64,3.46,-3.49,83.66,0.0,1.75,2.11,6.22
2015-01-03,0.05,3.84,-5.09,92.25,18.45,1.71,0.68,7.18
2015-01-04,4.96,8.05,2.57,99.38,9.94,1.77,0.61,8.11
2015-01-05,-1.55,3.86,-8.1,67.19,0.0,3.11,2.32,5.97
2015-01-06,-7.72,-6.17,-9.02,74.85,0.82,1.29,0.89,6.29
2015-01-07,-8.93,-5.35,-13.2,73.06,0.02,3.12,1.84,5.84
2015-01-08,-10.64,-6.44,-14.47,72.79,0.0,2.49,2.49,5.19
2015-01-09,-5.16,-1.04,-8.98,78.06,1.41,2.7,1.32,6.25
2015-01-10,-9.14,-5.66,-11.71,77.93,0.0,2.06,2.68,5.33
2015-01-11,-5.37,0.14,-11.85,82.16,0.0,1.49,2.13,6.12
2015-01-12,-0.46,0.93,-3.03,94.8,15.1,1.06,0.34,7.26
2015-01-13,-7.2,-0.17,-13.54,85.86,0.44,2.59,2.7,5.96
2015-01-14,-8.57,-2.58,-13.85,95.33,0.01,1.77,1.19,6.93
2015-01-15,-6.31,-0.99,-10.22,90.89,0.0,1.5,1.94,6.31
2015-01-16,-4.76,1.94,-10.0,83.92,0.02,2.62,2.33,5.94
2015-01-17,-8.11,-3.63,-13.14,79.92,0.0,1.33,2.91,5.44
2015-01-18,0.58,4.67,-6.08,99.72,41.88,1.61,0.48,7.38
2015-01-19,-0.46,3.1,-3.37,91.03,0.02,2.18,1.98,6.83
2015-01-20,-2.66,1.1,-6.3,85.94,0.18,1.63,2.15,6.48
2015-01-21,-5.46,-1.25,-10.47,82.73,0.3,1.2,1.92,6.52
2015-01-22,-2.8,1.52,-6.61,90.23,0.12,1.26,2.08,6.6
2015-01-23,-3.68,1.55,-9.62,88.11,0.29,1.29,3.06,5.94
2015-01-24,-0.87,0.53,-3.9,98.05,21.11,1.91,0.66,7.03
2015-01-25,-3.12,0.69,-7.07,90.67,0.01,2.17,2.61,6.29
2015-01-26,-6.52,-5.32,-7.43,92.67,6.91,3.22,0.64,6.72
2015-01-27,-7.7,-6.32,-9.38,94.85,5.77,3.87,1.25,6.41
2015-01-28,-9.68,-4.26,-15.18,94.36,0.02,2.22,2.84,5.57
2015-01-29,-9.21,-1.05,-18.92,93.85,0.44,1.32,2.63,5.97
2015-01-30,-3.42,-0.13,-11.03,95.03,1.78,2.76,1.46,6.63
2015-01-31,-12.14,-8.05,-15.19,94.49,0.0,3.28,3.21,5.19
2015-02-01,-5.78,-0.28,-14.92,94.44,1.42,1.24,1.89,6.46
2015-02-02,-4.14,0.54,-13.34,98.24,28.32,2.78,0.43,7.12
2015-02-03,-12.29,-6.57,-18.47,96.03,0.0,1.75,3.08,5.33
2015-02-04,-4.17,0.67,-14.57,95.4,0.05,1.44,2.39,6.59
2015-02-05,-5.99,0.29,-15.62,94.94,0.84,2.97,1.44,6.13
2015-02-06,-13.34,-6.41,-20.54,96.97,0.0,1.77,2.46,5.55
2015-02-07,-5.82,-0.34,-12.79,94.08,0.22,1.21,1.39,6.82
