date,tmax,tmin,prcp,snow
2015-01-01,39.02,36.86,0.0,0.0
2015-01-02,39.56,38.3,0.0,0.0
2015-01-03,39.56,37.94,0.71,0.0
2015-01-04,42.08,39.38,0.3,0.0
2015-01-05,40.82,35.78,0.0,0.0
2015-01-06,35.96,35.42,0.05,1.0
2015-01-07,36.14,33.62,0.0,0.0
2015-01-08,35.78,33.44,0.0,0.0
2015-01-09,37.94,35.42,0.07,1.5
2015-01-10,36.14,34.88,0.0,0.0
2015-01-11,38.660000000000004,35.24,0.0,0.0
2015-01-12,39.02,38.3,0.36,0.0
2015-01-13,38.48,35.06,0.0,0.0
2015-01-14,37.76,34.88,0.0,0.0
2015-01-15,38.3,36.5,0.0,0.0
2015-01-16,39.74,35.6,0.0,0.0
2015-01-17,37.76,35.06,0.0,0.0
2015-01-18,39.56,37.58,2.1,0.0
2015-01-19,39.56,38.48,0.0,0.0
2015-01-20,39.2,37.76,0.0,0.0
2015-01-21,38.48,36.5,0.0,0.0
2015-01-22,39.2,37.58,0.0,0.0
2015-01-23,39.02,37.04,0.0,0.0
2015-01-24,39.02,37.94,0.72,3.6
2015-01-25,39.56,37.58,0.0,0.0
2015-01-26,37.58,35.96,0.48,5.5
2015-01-27,37.4,35.6,0.36,4.3
2015-01-28,38.12,34.88,0.0,0.0
2015-01-29,38.48,35.42,0.02,0.0
2015-01-30,38.839999999999996,35.42,0.06,1.0
2015-01-31,36.68,34.34,0.0,0.0
2015-02-01,38.48,35.6,0.03,0.3
2015-02-02,38.12,34.52,1.02,5.0
2015-02-03,36.68,34.34,0.0,0.0
2015-02-04,39.74,36.32,0.0,0.0
2015-02-05,39.56,34.52,0.0,0.0
2015-02-06,36.86,34.16,0.0,0.0
2015-02-07,39.2,36.5,0.02,0.0
2015-02-08,38.660000000000004,37.22,0.0,0.0
2015-02-09,37.22,36.5,0.09,0.0
2015-02-10,39.2,36.68,0.01,0.1
2015-02-11,38.12,35.96,0.0,0.0
2015-02-12,39.2,34.88,0.0,0.0
2015-02-13,35.78,33.44,0.0,0.0
2015-02-14,37.76,34.88,0.02,0.9
2015-02-15,36.5,32.72,0.0,0.0
2015-02-16,35.78,32.54,0.0,0.0
2015-02-17,36.86,34.52,0.14,3.3
2015-02-18,37.94,35.42,0.0,0.0
2015-02-19,36.86,33.44,0.0,0.0
2015-02-20,35.42,32.36,0.0,0.0
2015-02-21,37.76,34.34,0.61,3.0
2015-02-22,39.74,37.76,0.1,1.0
2015-02-23,38.839999999999996,33.44,0.0,0.0
2015-02-24,36.32,32.72,0.0,0.0
2015-02-25,38.660000000000004,35.6,0.0,0.0
2015-02-26,37.76,35.78,0.0,0.0
2015-02-27,37.4,35.24,0.0,0.0
2015-02-28,37.22,34.34,0.0,0.0
2015-03-01,37.58,36.32,0.52,4.8
2015-03-02,39.02,36.86,0.0,0.0
2015-03-03,38.660000000000004,35.96,0.67,1.8
2015-03-04,40.1,38.3,0.25,0.0
2015-03-05,39.2,35.42,0.76,7.5
2015-03-06,36.86,34.16,0.0,0.0
2015-03-07,38.839999999999996,35.24,0.0,0.0
2015-03-08,40.82,38.660000000000004,0.0,0.0
2015-03-09,41.72,39.2,0.01,0.0
2015-03-10,41.54,39.02,0.46,0.0
2015-03-11,42.620000000000005,39.92,0.01,0.0
2015-03-12,40.46,38.48,0.0,0.0
2015-03-13,39.74,37.58,0.0,0.0
2015-03-14,41.18,39.2,0.81,0.0
2015-03-15,39.92,38.48,0.0,0.0
2015-03-16,41.36,38.3,0.0,0.0
2015-03-17,42.260000000000005,38.12,0.02,0.0
2015-03-18,39.02,37.22,0.0,0.0
2015-03-19,39.74,37.22,0.0,0.0
2015-03-20,38.839999999999996,37.22,0.4,4.5
2015-03-21,40.46,37.22,0.0,0.0
2015-03-22,39.74,37.04,0.0,0.0
2015-03-23,38.839999999999996,36.14,0.0,0.0
2015-03-24,40.1,36.68,0.0,0.0
2015-03-25,40.82,38.12,0.05,0.0
2015-03-26,43.16,39.56,0.32,0.0
2015-03-27,40.28,39.02,0.27,0.0
2015-03-28,39.2,36.68,0.0,0.0
2015-03-29,40.28,36.5,0.0,0.0
2015-03-30,41.72,38.48,0.0,0.0
2015-03-31,40.46,38.3,0.17,0.0
2015-04-01,41.18,37.76,0.0,0.0
2015-04-02,44.06,39.38,0.0,0.0
2015-04-03,43.519999999999996,42.620000000000005,0.04,0.0
2015-04-04,42.8,39.56,0.01,0.0
2015-04-05,42.980000000000004,39.56,0.0,0.0
2015-04-06,43.34,39.56,0.0,0.0
2015-04-07,43.16,39.56,0.15,0.0
2015-04-08,40.1,38.660000000000004,0.0,0.0
2015-04-09,39.74,38.660000000000004,0.0,0.0
2015-04-10,42.08,39.02,0.17,0.0
2015-04-11,42.260000000000005,39.92,0.0,0.0
2015-04-12,43.879999999999995,39.74,0.0,0.0
2015-04-13,44.239999999999995,41.0,0.0,0.0
2015-04-14,43.7,41.9,0.01,0.0
2015-04-15,44.96,41.18,0.0,0.0
2015-04-16,43.519999999999996,41.36,0.0,0.0
2015-04-17,44.78,41.9,0.08,0.0
2015-04-18,46.4,42.620000000000005,0.0,0.0
2015-04-19,43.519999999999996,40.64,0.0,0.0
2015-04-20,42.260000000000005,40.28,1.37,0.0
2015-04-21,43.7,41.36,0.2,0.0
2015-04-22,44.42,40.64,0.05,0.0
2015-04-23,41.36,39.38,0.0,0.0
2015-04-24,41.36,39.02,0.0,0.0
2015-04-25,43.16,38.839999999999996,0.0,0.0
2015-04-26,43.519999999999996,40.28,0.0,0.0
2015-04-27,43.16,40.82,0.0,0.0
2015-04-28,44.78,41.0,0.0,0.0
2015-04-29,46.04,41.0,0.0,0.0
2015-04-30,44.06,40.64,0.0,0.0
2015-05-01,43.34,40.82,0.0,0.0
2015-05-02,45.32,40.64,0.0,0.0
2015-05-03,46.4,41.18,0.0,0.0
2015-05-04,47.3,42.260000000000005,0.0,0.0
2015-05-05,47.3,43.879999999999995,0.0,0.0
2015-05-06,45.14,42.620000000000005,0.0,0.0
2015-05-07,46.4,42.08,0.0,0.0
2015-05-08,46.76,42.08,0.0,0.0
2015-05-09,44.6,42.260000000000005,0.0,0.0
2015-05-10,46.94,42.980000000000004,0.0,0.0
2015-05-11,47.120000000000005,44.6,0.0,0.0
2015-05-12,47.48,43.519999999999996,0.0,0.0
2015-05-13,44.6,41.54,0.0,0.0
2015-05-14,45.14,41.0,0.0,0.0
2015-05-15,45.5,41.9,0.0,0.0
2015-05-16,45.5,42.260000000000005,0.3,0.0
2015-05-17,46.94,43.519999999999996,0.02,0.0
2015-05-18,45.5,42.8,0.0,0.0
2015-05-19,46.4,42.620000000000005,0.0,0.0
2015-05-20,44.06,41.72,0.0,0.0
2015-05-21,43.16,41.36,0.0,0.0
2015-05-22,45.32,41.9,0.0,0.0
2015-05-23,44.6,40.82,0.0,0.0
2015-05-24,46.58,42.08,0.0,0.0
2015-05-25,47.3,43.519999999999996,0.0,0.0
2015-05-26,47.84,44.06,0.0,0.0
2015-05-27,47.3,44.6,0.08,0.0
2015-05-28,47.3,44.6,0.0,0.0
2015-05-29,47.3,43.7,0.0,0.0
2015-05-30,47.3,44.06,0.0,0.0
2015-05-31,47.66,42.260000000000005,1.46,0.0
2015-06-01,42.44,41.18,0.72,0.0
2015-06-02,41.9,41.0,0.37,0.0
2015-06-03,44.6,41.36,0.0,0.0
2015-06-04,43.7,41.72,0.0,0.0
2015-06-05,44.6,41.9,0.13,0.0
2015-06-06,45.68,42.8,0.19,0.0
2015-06-07,45.32,41.9,0.0,0.0
2015-06-08,46.22,43.34,0.06,0.0
2015-06-09,46.94,44.239999999999995,0.01,0.0
2015-06-10,46.76,43.7,0.0,0.0
2015-06-11,48.02,44.96,0.0,0.0
2015-06-12,47.84,45.14,0.0,0.0
2015-06-13,47.48,44.96,0.0,0.0
2015-06-14,47.84,43.879999999999995,0.36,0.0
2015-06-15,46.94,43.519999999999996,0.57,0.0
2015-06-16,46.22,43.7,0.27,0.0
2015-06-17,46.76,43.879999999999995,0.0,0.0
2015-06-18,44.78,43.519999999999996,0.0,0.0
2015-06-19,47.66,44.239999999999995,0.0,0.0
2015-06-20,45.5,43.519999999999996,0.0,0.0
2015-06-21,47.84,44.78,0.64,0.0
