date,vc_tempmax,vc_tempmin,vc_temp,humidity,precipitation,precip_probability,precip_type,wind_speed,wind_direction,pressure,cloud_cover,visibility,uv_index,conditions
2015-01-01,38.9,27.0,32.8,37.9,0.0,0.0,,11.4,250.2,1018.4,0.1,9.9,5.0,Clear
2015-01-02,42.2,36.0,38.5,40.7,0.0,0.0,,15.1,270.1,1022.8,21.7,9.9,4.0,Partially cloudy
2015-01-03,40.9,34.1,36.0,67.9,0.67,100.0,"['rain', 'snow']",9.2,71.1,1031.0,56.3,6.5,1.0,"Snow, Rain, Partially cloudy"
2015-01-04,55.1,40.9,48.2,86.7,0.351,100.0,['rain'],13.9,246.7,1010.4,89.1,7.0,1.0,"Rain, Partially cloudy"
2015-01-05,49.9,21.8,36.2,36.3,0.0,0.0,,22.8,290.8,1019.2,27.3,9.9,4.0,Partially cloudy
2015-01-06,21.8,19.1,20.5,57.1,0.052,100.0,['snow'],12.3,286.7,1024.1,54.3,7.0,2.0,"Snow, Partially cloudy"
2015-01-07,22.9,10.1,19.0,47.8,0.0,0.0,['snow'],20.8,292.0,1016.7,23.7,9.8,4.0,Partially cloudy
2015-01-08,20.0,8.1,14.1,42.6,0.0,0.0,,13.9,271.9,1027.5,0.1,9.9,5.0,Clear
2015-01-09,33.2,19.1,26.5,47.7,0.071,100.0,"['rain', 'snow']",17.6,252.3,1018.2,49.6,8.6,5.0,"Snow, Rain, Partially cloudy"
2015-01-10,22.9,16.1,19.9,39.2,0.0,0.0,['snow'],12.5,275.5,1030.2,0.0,9.9,5.0,Clear
2015-01-11,37.1,18.0,28.6,36.2,0.0,0.0,,11.4,235.4,1035.8,27.8,9.9,5.0,Partially cloudy
2015-01-12,38.0,35.1,37.0,70.5,0.363,100.0,"['rain', 'snow']",9.2,275.9,1024.9,100.0,6.7,1.0,"Snow, Rain, Overcast"
2015-01-13,36.0,17.1,26.4,55.7,0.0,0.0,,17.0,17.3,1032.7,33.9,9.9,5.0,Partially cloudy
2015-01-14,31.9,17.1,24.7,58.7,0.0,0.0,,12.8,42.1,1028.7,62.6,9.9,3.0,Partially cloudy
2015-01-15,34.1,25.1,29.8,56.2,0.0,0.0,,13.7,287.6,1018.2,42.8,9.8,5.0,Partially cloudy
2015-01-16,43.1,20.0,31.9,44.5,0.0,0.0,,18.4,281.8,1013.2,29.4,9.4,5.0,Partially cloudy
2015-01-17,30.8,17.1,23.5,43.4,0.0,0.0,,11.4,273.4,1026.8,0.1,9.9,5.0,Clear
2015-01-18,42.2,30.8,36.9,81.8,2.107,100.0,"['rain', 'snow']",7.1,7.5,1013.9,80.8,5.1,0.0,"Snow, Rain, Partially cloudy"
2015-01-19,40.9,37.1,38.8,59.5,0.055,100.0,['rain'],15.6,280.5,1009.2,82.6,9.9,4.0,"Rain, Partially cloudy"
2015-01-20,39.8,33.2,36.9,48.2,0.0,0.0,,9.2,296.2,1013.1,60.1,9.9,5.0,Partially cloudy
2015-01-21,35.1,25.1,31.3,39.0,0.0,0.0,,6.9,26.0,1020.2,47.6,9.9,4.0,Partially cloudy
2015-01-22,38.9,30.8,34.3,54.5,0.0,0.0,"['rain', 'snow']",10.3,312.9,1023.4,59.4,8.2,5.0,Partially cloudy
2015-01-23,38.9,28.1,33.3,50.8,0.0,0.0,"['rain', 'snow']",10.8,258.1,1023.3,8.4,9.6,5.0,Clear
2015-01-24,38.0,33.2,35.4,79.1,0.729,100.0,"['rain', 'snow']",12.8,344.0,1000.2,82.9,4.5,2.0,"Snow, Rain, Partially cloudy"
2015-01-25,42.2,31.9,37.2,47.0,0.0,0.0,['rain'],12.7,292.8,1007.0,43.9,9.8,5.0,Partially cloudy
2015-01-26,30.8,22.9,25.5,64.7,0.45,100.0,['snow'],19.7,51.3,1013.0,97.9,4.1,3.0,"Snow, Overcast"
2015-01-27,29.9,20.9,24.3,66.9,0.345,100.0,['snow'],19.2,350.8,1005.4,67.4,6.1,3.0,"Snow, Partially cloudy"
2015-01-28,33.2,17.1,24.4,39.1,0.0,0.0,,13.9,313.2,1017.4,2.2,9.9,6.0,Clear
2015-01-29,35.1,19.1,27.7,48.8,0.0,0.0,"['rain', 'snow']",11.4,205.0,1023.2,37.7,9.9,5.0,Partially cloudy
2015-01-30,38.0,20.0,32.1,61.8,0.087,100.0,"['rain', 'snow']",18.4,299.9,1012.3,73.5,7.7,5.0,"Snow, Rain, Partially cloudy"
2015-01-31,26.1,12.8,19.5,41.3,0.0,0.0,,19.7,307.4,1019.7,0.1,9.9,6.0,Clear
2015-02-01,36.0,20.0,29.8,54.0,0.019,100.0,"['rain', 'snow']",8.5,249.6,1021.2,71.0,8.9,5.0,"Snow, Rain, Partially cloudy"
2015-02-02,33.2,13.9,26.9,82.4,1.033,100.0,"['rain', 'snow']",16.1,29.9,1003.5,91.2,3.8,2.0,"Snow, Rain, Overcast"
2015-02-03,25.1,12.8,19.5,60.2,0.0,0.0,['snow'],21.0,280.0,1022.6,0.1,9.0,6.0,Clear
2015-02-04,42.2,25.1,34.2,56.1,0.0,0.0,"['rain', 'snow']",8.1,235.8,1021.1,62.7,9.0,5.0,Partially cloudy
2015-02-05,42.1,15.2,29.6,46.5,0.0,0.0,,25.2,317.0,1015.9,49.1,9.9,5.0,Partially cloudy
2015-02-06,27.0,11.9,19.4,42.7,0.0,0.0,,13.9,276.5,1022.2,13.6,9.9,5.0,Clear
2015-02-07,38.0,25.1,31.6,51.8,0.02,100.0,"['rain', 'snow']",10.3,249.2,1018.7,82.4,8.9,4.0,"Snow, Rain, Partially cloudy"
2015-02-08,37.1,30.8,34.6,77.5,0.0,0.0,,15.0,65.5,1013.2,91.8,5.6,4.0,Overcast
2015-02-09,29.0,25.1,26.7,74.0,0.094,100.0,['snow'],18.3,60.6,1015.3,100.0,9.1,2.0,"Snow, Overcast"
2015-02-10,38.9,26.1,30.8,63.1,0.012,100.0,['snow'],18.3,25.6,1017.0,69.8,9.5,6.0,"Snow, Partially cloudy"
2015-02-11,33.2,21.8,27.9,50.7,0.0,0.0,,15.0,35.9,1016.6,0.1,9.9,7.0,Clear
2015-02-12,38.9,20.9,31.7,57.2,0.0,0.0,,11.5,274.4,1009.2,87.1,8.9,6.0,Partially cloudy
2015-02-13,20.0,8.1,14.9,37.2,0.0,0.0,,18.4,307.7,1019.0,0.0,9.9,7.0,Clear
2015-02-14,31.9,17.1,25.2,52.3,0.012,100.0,"['rain', 'snow']",11.3,212.4,1008.6,81.8,8.2,4.0,"Snow, Rain, Partially cloudy"
2015-02-15,25.1,3.8,15.0,48.3,0.012,100.0,['snow'],19.7,308.2,1008.2,50.0,9.2,7.0,"Snow, Partially cloudy"
2015-02-16,20.0,3.8,12.2,35.1,0.0,0.0,['snow'],15.0,304.8,1020.4,12.6,9.9,7.0,Clear
2015-02-17,27.0,15.2,21.2,57.5,0.146,100.0,['snow'],10.3,29.0,1013.2,60.5,6.6,6.0,"Snow, Partially cloudy"
2015-02-18,30.8,19.1,25.5,55.9,0.0,0.0,,9.2,146.7,1010.2,29.8,9.2,7.0,Partially cloudy
2015-02-19,27.0,10.1,18.2,41.2,0.0,0.0,,19.8,294.7,1009.4,46.3,9.9,6.0,Partially cloudy
2015-02-20,19.1,2.0,10.6,37.3,0.0,0.0,,16.1,285.6,1023.7,0.0,9.9,7.0,Clear
2015-02-21,31.9,13.9,23.1,56.9,0.537,100.0,"['rain', 'snow']",9.2,222.1,1028.8,52.7,6.2,5.0,"Snow, Rain, Partially cloudy"
2015-02-22,43.1,31.9,36.3,74.4,0.18,100.0,"['rain', 'snow']",8.1,263.9,1021.1,45.9,6.0,6.0,"Snow, Rain, Partially cloudy"
2015-02-23,38.0,8.1,23.4,40.1,0.0,0.0,,17.2,314.2,1025.3,26.2,9.9,7.0,Partially cloudy
2015-02-24,24.2,3.8,14.3,45.0,0.0,0.0,,10.3,235.3,1022.5,8.0,9.9,7.0,Clear
2015-02-25,37.1,20.0,29.3,45.4,0.0,0.0,['snow'],11.4,276.9,1010.7,3.6,9.9,7.0,Clear
2015-02-26,31.9,21.8,25.0,48.7,0.0,0.0,,11.4,25.4,1016.3,59.0,9.6,7.0,Partially cloudy
2015-02-27,29.9,18.0,23.4,42.2,0.0,0.0,,13.4,324.8,1028.2,20.5,9.9,7.0,Partially cloudy
2015-02-28,29.0,13.9,22.0,35.4,0.0,0.0,,14.3,305.8,1040.8,0.1,9.9,8.0,Clear
2015-03-01,29.9,25.1,27.3,53.1,0.52,100.0,"['rain', 'snow']",6.9,231.4,1033.3,76.1,6.4,3.0,"Snow, Rain, Partially cloudy"
2015-03-02,38.0,28.1,33.1,54.1,0.0,0.0,"['rain', 'snow']",16.1,306.4,1020.9,46.9,8.5,7.0,Partially cloudy
2015-03-03,36.0,22.9,28.9,59.0,0.658,100.0,"['rain', 'snow']",11.1,190.2,1025.2,47.0,7.6,5.0,"Snow, Rain, Partially cloudy"
2015-03-04,45.0,36.0,40.2,81.0,0.19,100.0,['rain'],9.2,242.0,1010.4,99.0,5.4,3.0,"Rain, Overcast"
2015-03-05,39.8,20.0,26.7,83.0,0.842,100.0,"['rain', 'snow']",11.4,318.8,1019.6,93.8,2.5,1.0,"Snow, Rain, Overcast"
2015-03-06,26.1,12.8,19.7,48.5,0.0,0.0,['snow'],15.1,318.1,1031.1,0.9,9.3,8.0,Clear
2015-03-07,38.0,18.0,28.6,46.6,0.0,0.0,,12.8,252.8,1022.2,32.5,9.6,8.0,Partially cloudy
2015-03-08,48.8,38.0,42.4,44.0,0.0,0.0,,17.7,288.9,1018.0,59.4,9.7,8.0,Partially cloudy
